english,reference_odia,greedy_prediction_odia
There was an error reading the folder %B.,"""ଫୋଲଡର “%B"""" କୁ ପଢ଼ିବା ସମୟରେ ତ୍ରୁଟି ପରିଲିଖିତ ହେଲା।""",%sକୁ ନେଇ %sକୁ ନେଇ %sକୁ ନେଇ ସୂଚନା ମିଳିଛି।
He is denying what he had said before the camera.,କ୍ୟାମେରା ସାମ୍ନାରେ କହିଥିବା କଥା ସେ ନିଜେ ଅସ୍ୱୀକାର କରୁଛନ୍ତି ।,ସେ କହିଛନ୍ତି ଯେ ସେ ଏହି ସମୟରେ ସେ କହିଛନ୍ତି ଯେ ସେ ଏହି କଥା କହିଛନ୍ତି।
This will give you lot of solace.,ଏହାଦ୍ୱାରା ଆପଣଙ୍କୁ ବହୁତ ଆରାମ ମିଳିବ ।,ଏହା ଆପଣଙ୍କ ଉପରେ ଧ୍ୟାନ ଦେବା।
Prime Minister Narendra Modi will himself be present at the event.,ଶିଳାନ୍ୟାସ କାର୍ଯ୍ୟକ୍ରମ ସମୟରେ ନିଜେ ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଉପସ୍ଥିତ ରହିବେ ।,ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଏହି କାର୍ଯ୍ୟକ୍ରମରେ ଯୋଗ ଦେବେ।
But they might have to wait a little longer.,ତଥାପି ଏମାନଙ୍କୁ ଅଧିକ ସମୟ ଅପେକ୍ଷା କରିବାକୁ ପଡ଼ିପାରେ।,କିନ୍ତୁ ସେମାନେ ଆଉ କିଛି ସମୟ ପାଇଁ ପ୍ରସ୍ତୁତ କରାଯାଇଛି ।
"PM will address the gathering Launch of Pradhan Mantri Shram Yogi Maan-dhan Yojana (PM-SYM) At Vastral, Prime Minister will mark the launch of the pension scheme for unorganized sector workers, the Pradhan Mantri Shram Yogi Maan-dhan, through the online fund transfer to beneficiaries.","ପ୍ରଧାନମନ୍ତ୍ରୀ ଶ୍ରମ ଯୋଗୀ ମାନ-ଧନ ଯୋଜନା (P-S)ର ଶୁଭାରମ୍ଭ ବସ୍ତ୍ରାଲରେ ପ୍ରଧାନମନ୍ତ୍ରୀ ଅଣ-ସଂଗଠିତ କ୍ଷେତ୍ର ଶ୍ରମିକଙ୍କ ପାଇଁ ପେନସନ୍ ସ୍କିମ୍, ପ୍ରଧାନମନ୍ତ୍ରୀ ଶ୍ରମ ଯୋଗୀ ମାନ-ଧନ ଯୋଜନାର ଶୁଭାରମ୍ଭ କରି ହିତାଧିକାରୀଙ୍କୁ ଅନ୍ଲାଇନ୍ ଜରିଆରେ ପାଣ୍ଠି ହସ୍ତାନ୍ତର କରିବେ ।","ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ କାର୍ଯ୍ୟାଳୟ, 2018-19ର ପ୍ରସ୍ତାବ, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19, 2018-19 ଏବଂ ଉଦ୍ୟୋଗକୁ ପ୍ରୋତ୍ସାହନ ପ୍ରଦାନ କରିବ ।"
Cultural programmes will be held every day in evening.,ବିଭିନ୍ନ ପ୍ରକାର ଦୋଳି ସହ ପ୍ରତିଦିନ ସାଂସ୍କୃତିକ କାର୍ଯ୍ୟକ୍ରମ ବି ଆୟୋଜନ କରାଯିବ।,ସନ୍ଧ୍ୟାରେ ଦିନ ଆରମ୍ଭ ହେବ।
"Thus, they do not increase the sugar level in the blood.",ଏହାସହ ରକ୍ତରେ ଶର୍କରାର ପରିମାଣ ମଧ୍ୟ ବୃଦ୍ଧି ହେବାକୁ ଦେଇ ନ ଥାଏ।,ତେଣୁ ସେମାନେ ଆହୁରି ଅଧିକ ଖର୍ଚ୍ଚ କରିବାକୁ ପଡ଼ିବ ନାହିଁ।
He then called other residents of the village.,ତେଣୁ ସେ ଗାଁର ଆଉ କିଛି ଲୋକଙ୍କୁ ଘଟଣାସ୍ଥଳକୁ ଡାକି ଆଣିଥିଲେ।,ଏହାପରେ ସେ ଅନ୍ୟ ସ୍ଥାନୀୟ ଅଞ୍ଚଳରେ ଥିଲେ।
The money was also missing.,ଟଙ୍କା ପଇସା ଅଭାବ ବି ଥିଲା।,ଏହାସହ ଟଙ୍କା ମଧ୍ୟ ଟଙ୍କା ମଧ୍ୟ ଟଙ୍କା ଦେଇଥିଲେ।
The police reached the spot and recovered the body of the newborn.,ଖବର ପାଇ ପୋଲିସ ଘଟଣା ସ୍ଥଳରେ ପହଞ୍ଚି ନବଜାତ ଶିଶୁର ମୃତଦେହକୁ ଉଦ୍ଧାର କରିବା ସହିତ ତଦନ୍ତ ଚାରି ରଖିଛି ।,ଘଟଣାସ୍ଥଳରେ ପୋଲିସ ପହଞ୍ଚି ମୃତଦେହ ଉଦ୍ଧାର କରି ବ୍ୟବଚ୍ଛେଦ ପାଇଁ ପଠାଇଛି।
"Rs 53,700 crore for development and welfare of Scheduled Tribes.","ଅନୁସୂଚିତ ଜନଜାତିଙ୍କ ଅଧିକ ବିକାଶ ଓ କଲ୍ୟାଣ ଲାଗି ୫୩,୭୦୦ କୋଟି ଟଙ୍କା ପ୍ରଦାନ କରାଯାଇସାରିଛି ।","5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5 କୋଟି ଟଙ୍କା, 5"
"""Party has nothing do with it"""", he said.""",ତାଙ୍କ ମତ ସହ ପାର୍ଟିର କୌଣସି ସମ୍ପର୍କ ନାହିଁ ବୋଲି କହିଛନ୍ତି ।,"ସେ କହିଛନ୍ତି, “ଆମୀଙ୍କୁ କିଛି ସମୟ ପୂର୍ବରୁ ସେ କହିଛନ୍ତି, ସେ କହିଛନ୍ତି, ସେ କହିଛନ୍ତି, ସେ କହିଛନ୍ତି।"
India's penal code is a modern system of laws.,ଭାରତର ଆଇନ ବ୍ୟବସ୍ଥା ଦଣ୍ଡ ବିଧାନକୁ କୋହଳ ରହିଛି ।,ଭାରତ ଏକ ବଡ଼ ବଡ଼ ବଡ଼ ବଡ଼ ବଡ଼ ଧରଣର ଏକ ବଡ଼ ଭୂମିକା ରହିଛି।
The police dug out the body and sent for postmortem.,ପୁଲିସ୍ ମାଟି ଖୋଳି ମୃତଦେହକୁ ଜବତ କରିବା ସହିତ ବ୍ୟବଚ୍ଛେଦ ପାଇଁ ପଠାଇଥିଲା।,ପୁଲିସ ଶବ ବ୍ୟବଚ୍ଛେଦ ପାଇଁ ପଠାଇ ଦେଇଛି।
A friend will be helpful.,ମିତ୍ରଙ୍କ ସାହାଯ୍ୟ ମିଳିବ।,ଜୀବନସାଥୀଙ୍କ ସହଯୋଗ ମିଳିବ।
"""Where to accept cookies from. Possible values are """"anywhere"""", """"current site"""" and """"nowhere"""".""","""କେଉଁଠୁ କୁକିଗୁଡ଼ିକୁ ଗ୍ରହଣ କରାଯାଇଥାଏ। ସମ୍ଭାବ୍ୟ ମୂଲ୍ୟଗୁଡ଼ିକ ହେଉଛି """"anywhere"""", """"current site"""" ଏବଂ """"nowhere""""।""","""ତା'ପରେ ଏକତ୍ରୀତର୍ """"ମୁଥିବା ବେଳେ """"ମୁଥିବା ବେଳେ """"ମୁଥିବା ବେଳେ """"ମୁଦିକାଲର ଏକ ବଡ଼ ଧରଣର ପ୍ରବର୍ତ୍ତନ କରି """"ମୁଦ୍ୟୁନ୍ୟୁନ୍ୟୁନ୍ଥନ୍ୟୁନ୍।"
It will be fine in few days.,କିଛି ଦିନ ଗଲେ ସବୁ ଠିକ ହେଇଯିବ ।,ଏହା କିଛି ଦିନ ହେବ।
"These trains will run on Puri-Ahmedabad, Puri-Gandhidham, Puri-Okha routes.","ପୁରୀ-ଅହମ୍ମଦାବାଦ, ପୁରୀ-ଗାନ୍ଧୀଧାମ ଓ ପୁରୀ-ଓଖା ରୁଟରେ ଏହି ଟ୍ରେନ ଚାଲିବ।","ଏହି ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ, ପୁରୀ ଓ ପୁରୀ ଓ ପୁରୀର ଓ ପୁରୀର-ଚକ୍ରିବ।"
"I will answer thee, and thy companions with thee.",ଆୟୁବ ମୁଁ ତୁମ୍ଭେ ଓ ତୁମ୍ଭର ସହିତ ଥିବା ବନ୍ଧୁମାନଙ୍କୁ ଉତ୍ତର ଦବୋକୁ ଚା ହେଁ।,"""ତା'ର ତୁମ୍ଭକୁ ଓ ତୁମ୍ଭର ତୁମ୍ଭର ଦାସ ଓ ତୁମ୍ଭ ସହିତ ତୁମ୍ଭର ତୁମ୍ଭର ତୁମ୍ଭର ଦାସ ଓ ତୁମ୍ଭ ସହିତ ତୁମ୍ଭର ପରମେଶ୍ବର।"
The police had made elaborate arrangements.,ଏଥି ପାଇଁ ପୁଲିସ ପକ୍ଷରୁ ବ୍ୟାପକ ବ୍ୟବସ୍ଥା କରାଯାଇଥିଲା।,ପୁଲିସ ପକ୍ଷରୁ ବ୍ୟାପକ ସୁରକ୍ଷା ବ୍ୟବସ୍ଥା କରାଯାଇଛି।
He was admitted to the district hospital for treatment.,ସେଠାରେ ଚିକିତ୍ସା ପାଇଁ ଜିଲ୍ଲା ମୂଖ୍ୟ ଚିକିତ୍ସାଳୟକୁ ଯାଇଥିଲେ ।,ଚିକିତ୍ସା ପାଇଁ ତାଙ୍କୁ ଜିଲ୍ଲା ମୁଖ୍ୟ ଚିକିତ୍ସାଳୟରେ ଭର୍ତ୍ତି କରାଯାଇଛି।
It also contains Real time setting of each key press so that sequencing of key presses including so called malicious sequenced key presses can be detected and wrapped.,ଏଥିରେ ପ୍ରତ୍ୟେକ ପ୍ରେସ୍ର ରିଏଲ୍ ଟାଇମ୍ ସିଟିଂ ମଧ୍ୟ ସାମିଲ ଥିଲା ।,ଏହା ଦ୍ୱାରା କିବୋର୍ଡରେ ଥିବା ଏକ ନୂଆ କୋଚକ୍ରୋସୃଜନ ହେବା ପରେ ଏହା ଏକ ନୂତନ ସଦସ୍ୟ ଏବଂ ଏକ ନୂଆ ବ୍ୟବହାର କରିପାରିବେ ।
"Later, BJP and Shiv Sena came together to form the government.",ପ୍ରଥମେ ଏଠାରେ ସରକାର ଗଠନ ଲାଗି ଶିବସେନା ଓ ବିଜେପି ମଧ୍ୟରେ ମେଣ୍ଟ ହୋଇଥିଲା ।,ପରେ ବିଜେପି ଓ ଶିବସେନା ମେଣ୍ଟ ସରକାର ଗଠନ କରିବାକୁ ନିଷ୍ପତ୍ତି ନେଇଥିଲେ।
The woman was injured critically in the incident.,ଘଟଣାସ୍ଥଳରେ ମହିଳା ଗୁରୁତର ହୋଇଥିଲେ।,ଏହି ଘଟଣାରେ ଜଣେ ମହିଳା ଗୁରୁତର ଆହତ ହୋଇଛନ୍ତି।
The other injured were admitted to hospital.,ଅନ୍ୟ ଆହତଙ୍କୁ ଡାକ୍ତରଖାନା ପଠାଯାଇଛି।,ଅନ୍ୟ ଗୁରୁତର ଅବସ୍ଥାରେ ଉଦ୍ଧାର କରାଯାଇଛି।
The man remained in police custody the whole night.,ପୋଲିସ କୁ ଖବର ଦେଇ ରାତି ସାରା ଯୁବକକୁ ଅଟକ ରଖିଥିଲେ।,ଗତକାଲି ରାତିରେ ପୋଲିସ ସେଠାରେ ଉତ୍ତେଜନା ରହିଛି ।
A compensation of Rs 4 lakhs will be given to families of deceased.,ମୃତକଙ୍କ ପରିବାରକୁ ୪ ଲକ୍ଷ ଟଙ୍କା ଲେଖାଏଁ କ୍ଷତିପୂରଣ ଦିଆଯାଇଛି।,ମୃତକଙ୍କ ପରିବାରକୁ ୪ ଲକ୍ଷ ଟଙ୍କାର ସହାୟତା ଯୋଗାଇ ଦିଆଯିବ ।
You will also make plans to expand your business.,ବ୍ୟବସାୟ ବିସ୍ତାର ଲାଗି ଯୋଜନା ପ୍ରସ୍ତୁତ କରିବେ।,ବ୍ୟବସାୟ ପାଇଁ ଆପଣଙ୍କୁ ଲାଭ କରିବେ।
"India is fully prepared for any situation, the Defence Minister said.","ଏନେଇ ପ୍ରତିରକ୍ଷା ମନ୍ତ୍ରୀ କହିଛନ୍ତି ଯେ, ଭାରତୀୟ ସୁରକ୍ଷା ବଳ ପ୍ରତ୍ୟେକ ପରିସ୍ଥିତିକୁ ସାମ୍ନା କରିବା ପାଇଁ ପୁରା ପ୍ରସ୍ତୁତ ଅଛି ।",ପ୍ରତିରକ୍ଷା ମନ୍ତ୍ରୀ କହିଛନ୍ତି ଯେ ଭାରତ ପାଇଁ ମଧ୍ୟ ଭାରତ ପାଇଁ ମଧ୍ୟ ଭାରତ ପାଇଁ ମଧ୍ୟ ଏହି ସୂଚନା ମିଳିଛି ।
"The ancient city in Uttar Pradesh rises alongside the banks of the Ganges, Yamuna and mythical Saraswati rivers.","ଉତ୍ତରପ୍ରଦେଶର ଏହି ଐତିହାସିକ ସହର ନିକଟରେ ହିଁ ଗଙ୍ଗା, ଯମୁନା ଓ ପୁରାଣ ବର୍ଣ୍ଣିତ ସରସ୍ୱତୀ ନଦୀର ମିଳନ ଘଟିଥିବା କଥିତ ରହିଛି।","ଏହି ଅବସରରେ ଓଡ଼ିଶା, ଉତ୍ତର ପ୍ରଦେଶ, ଉତ୍ତର ପ୍ରଦେଶ ଓ ପଶ୍ଚିମ ଦିଗରୁ ଏହି ସ୍ଥାନ ରେ ବାସଗୃହର ସୁଗଲ।"
Do what youve been doing.,ଆପଣ ଯାହା କରୁଛନ୍ତି କରନ୍ତୁ।,ଆପଣ କ’ଣ କରିଛବି।
Delete all sticky notes?,ସମସ୍ତ ଷ୍ଟିକି ନୋଟଗୁଡିକୁ ଅପସାରଣ କରିବେକି?,ସମସ୍ତ ପ୍ରକାରରେ କ’ଣ କରନ୍ତୁ?
"These districts are -- Ganjam, Puri, Nayagarh, Khurda, Cuttack, Jagatsinghpur, Kendrapara, Jajpur, Bhadrak, Balasore and Balangir.","ଏହି ଜିଲ୍ଲାଗୁଡ଼ିକ ହେଉଛି- ଯାଜପୁର, କେନ୍ଦୁଝର, ଜଗତସିଂହପୁର, କେନ୍ଦ୍ରାପଡ଼ା, ଭଦ୍ରକ ଓ ବାଲେଶ୍ୱର।","ଏହି ଜିଲ୍ଲା ଗୁଡ଼ିକ ହେଲା, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଯାଜପୁର, ଯାଜପୁର, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଯାଜପୁର, ଯାଜପୁର, ଯାଜପୁର, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଯାଜପୁର, ଭଦ୍ରକ, ଭଦ୍ରକ, ଯାଜପୁର, ଯାଜପୁର, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଯାଜପୁର, ଯାଜପୁର, ଯାଜପୁର, ଭଦ୍ରକ, ଯାଜପୁର, ଯାଜପୁର, ଯାଜପୁର, ଯାଜପୁର, ଭଦ୍ରକ,"
The car driver fled away from the spot.,କାର୍ ଚାଳକ ତାଙ୍କ କାମ ବଢ଼ାଇସାରି ଘଟଣାସ୍ଥଳରୁ ପଳାଇଥିଲେ।,ଦୁର୍ଘଟଣା ପରେ ଘଟଣାସ୍ଥଳରୁ ଡ୍ରାଇଭରକୁ ଖସି ପଳାଇଥିଲେ।
You will spend a prosperous life.,ସୁଖ-ସମୃଦ୍ଧିପୂର୍ଣ୍ଣ ଜୀବନ ୍ାପନ କରିବେ ।,ଜୀବନ ସୁଖମୟ ହେବ।
are sufficiently available.,ପର୍ଯ୍ୟାପ୍ତ ସାମର୍ଥ୍ୟ ରହିଛି।,ଏଥିରେ ବ୍ୟବହାର କରାଯାଉଛି।
Damodar Rout expelled from BJD,ବିଜେଡିରୁ ଦାମ ରାଉତ ବିଦା,ବିଜେଡିରୁ ବିଜେପି ପ୍ରାର୍ଥୀ
"Swachhta in schools plays a significant role in determining the health of children, attendance, dropout rate, and learning outcomes.","ସ୍କୁଲର ସ୍ୱଚ୍ଛତା ଛାତ୍ରମାନଙ୍କର ସ୍ୱାସ୍ଥ୍ୟ, ଉପସ୍ଥିତି, ଶିଖିବା ଓ ବୁଝିବାର ସ୍ତର ତଥା ଅଧାରୁ ସ୍କୁଲ ପାଠପଢା ଛାଡିବା ହାରକୁ ପ୍ରଭାବିତ କରିଥାଏ ।","ଏଥିରେ ବହୁ ସଂଖ୍ୟାରେ ମହିଳା, ସ୍ୱାସ୍ଥ୍ୟ, ସ୍ୱାସ୍ଥ୍ୟ ଓ ସ୍ୱାସ୍ଥ୍ୟ ସେବା ଓ ସ୍ୱାସ୍ଥ୍ୟ କ୍ଷେତ୍ରରେ ସ୍ୱାସ୍ଥ୍ୟ କ୍ଷେତ୍ରରେ ବହୁ ବିଶିଷ୍ଟ ବ୍ୟକ୍ତି ବିଶେଷ ଗୁରୁତ୍ୱ ଦେଇଥିଲେ ।"
And I would like to praise all the states and their officers those who have reached out to lakhs and crores of women and improved their lives.,ଆଉ ମୁଁ ସମସ୍ତ ରାଜ୍ୟ ଓ ସେଠାକାର ଅଧିକାରୀମାନଙ୍କୁ ଅଭିନନ୍ଦନ ଜଣାଇବାକୁ ଚାହିଁବି । ଯେଉଁମାନେ ଏହି ଯୋଜନାଗୁଡ଼ିକୁ ଲକ୍ଷ ଲକ୍ଷ କୋଟି କୋଟି ମହିଳାଙ୍କ ପାଖରେ ପହଂଚାଇ ସେମାନଙ୍କ ଜୀବନରେ ସୁଧାର ଆଣିବାର କାର୍ଯ୍ୟ କରିଛନ୍ତି ।,"""ସଦାପ୍ରଭୁ ମୁଁ ସେମାନଙ୍କ ମଧ୍ୟରୁ ସମସ୍ତ ଲୋକ ଓ ସେମାନଙ୍କ ଜୀବନ ଓ ସେମାନଙ୍କ ଜୀବନ ରକ୍ଷା କରିବା ପାଇଁ ସମସ୍ତ ଲୋକ ଓ ସେମାନଙ୍କ ଜୀବନଧାରଣ କରି ମୁଁ ସେମାନଙ୍କ ଜୀବନ କାମନା କରିଛନ୍ତି।"
Can you beat him?,ଆପଣ ତାଙ୍କୁ ପାରିବେ ତ ?,ତାଙ୍କ ପାଇଁ ତାଙ୍କୁ କିଏ ?
Sync is brand new and easier than ever.\u0020,Sync ଟି ନୂଆ ଅଟେ ଏବଂ ଆଗ ଅପେକ୍ଷା ସହଜମୟ ଅଟେ।,ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ !
Thats what theyre doing.,ଯାହାକି ଏମାନେ କରୁଛନ୍ତି ।,ଏହା କ’ଣ ଥିଲା।
Bollywood actor Sridevi passes away,ବଲିଉଡର ସୁପରଷ୍ଟାର ଅଭିନେତ୍ରୀ ଶ୍ରୀଦେବୀଙ୍କ ଦେହାନ୍ତ,ବଲିଉଡ୍ ଅଭିନେତା ସୁଶାନ୍ତ ସିଂହ ରାଜପୁତଙ୍କ ପରଲୋକ
There was nothing to eat.,କିଛି ଖାଇବାକୁ ମିଳିଲାନି।,କିଛି କିଛି କ୍ଷୟକ୍ଷତି ହୋଇନାହିଁ।
"BJP fields Bhartendu Singh from Bijnore and Hukum Singh from Kairana, while BSP nominates Kadir Rana from Muzaffarnagar","ବିଜେଡ଼ିରୁ ବିକ୍ରମ ପଣ୍ଡା ଲଢ଼ୁଥିବା ବେଳେ, କଂଗ୍ରେସରୁ ଲିଙ୍ଗରାଜ ଚୌଧୁରୀ ଓ ବିଜେପିରୁ କାହ୍ନୁଚଣ ପତି ନିର୍ବାଚନ ଲଢ଼ୁଛନ୍ତି ।","ରାମଚନ୍ଦ୍ର ସିଂହ, ବିଜେପି ବିଧାୟକ ଓ ବିଜେପି ବିଧାୟକ ସିଂହ, ବିଧାୟକ ସିଂହ, ବିଧାୟକ ଦଳ ନେତା କେ ସିଂହ, ବିଧାୟକ ଦଳ ନେତା ଓ ବିଜେପି ବିଧାୟକ ସିଂହ, ବିଧାୟକ ଦଳ ନେତା।"
He died there.,ସେଠାରେ ତାଙ୍କର ମୃତ୍ୟୁ ଘଟିଛି ।,ସେଠାରେ ତାଙ୍କର ମୃତ୍ୟୁ ହୋଇଥିଲା।
"And the king sware, and said, As the LORD liveth, that hath redeemed my soul out of all distress,","""ତା'ପରେ ରାଜା ଶପଥ କଲେ, """" ଯେ ପର୍ୟ୍ଯନ୍ତ ସଦାପ୍ରଭୁ ଜୀବିତ ଅଛନ୍ତି ପରମେଶ୍ବର ମାେତେ ସମସ୍ତ ବିପଦରୁ ରକ୍ଷା କରିଛନ୍ତି। ମୁଁ ଏହି ପ୍ରତିଜ୍ଞା କରୁଛି।""","""ତା'ପରେ ସଦାପ୍ରଭୁ କହିଲେ, """"ମୁଁ ତୁମ୍ଭକୁ ଯେଉଁଠା ରେ ସଦାପ୍ରଭୁ, """"ତୁମ୍ଭେ ସହେି ନଗର ରେ ସଦାପ୍ରଭୁ, """"ତୁମ୍ଭେ ସହେି ନଗର ରେ ସଦାପ୍ରଭୁ, """"ତୁମ୍ଭେ ସହେି ନଗର ରେ ସଦାପ୍ରଭୁ, """"ତୁମ୍ଭେ ସହେି ନଗର ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ସଦାପ୍ରଭୁ, """"ତୁମ୍ଭେ ସହେି ସ୍ଥାନ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ସହେି ସ୍ଥାନ ରେ ସହେି ନଗର ରେ ସହେି ନଗର ରେ ସହେି ନଗର ରେ ତୁମ୍ଭେ ମାରେ ପ୍ରଭୁ ରେ ସହେି ନଗର ରେ ସହେି ନଗର ରେ ସହେି ନଗର ରେ ସହେି ନଗର ରେ ସହେି ନଗର ରେ ସହେି ନଗର"
